,is_renewal_needed,is_new_development,m2,n_rooms,n_bathrooms,floor,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,latitude,longitude,buy_price
1,1,0,70.0,3,1.0,4.0,1,1,0,0,1,0,0,40.3551089,-3.7001047141537535,129900
3,0,0,64.0,2,1.0,0.0,1,1,0,1,0,0,0,40.3455389,-3.7109697,109900
4,0,0,108.0,2,2.0,4.0,1,1,1,1,0,0,1,40.3558406,-3.688398889638639,260000
9,1,0,69.0,2,2.0,2.0,1,0,0,0,1,0,0,40.3455389,-3.7109697,118000
15,1,0,75.0,3,1.0,3.0,1,1,0,0,1,0,0,40.3455389,-3.7109697,129900
19,1,0,76.0,3,1.0,2.0,1,0,0,0,1,0,0,40.3455389,-3.7109697,110000
20,0,0,75.0,3,1.0,3.0,1,0,1,0,1,0,0,40.3455389,-3.7109697,138000
22,1,0,65.0,3,1.0,1.0,1,1,0,0,0,0,1,40.3558406,-3.688398889638639,150000
25,0,0,72.0,2,1.0,3.0,1,0,1,0,0,1,0,40.3455389,-3.7109697,138000
26,0,0,61.0,3,1.0,5.0,1,0,0,0,0,1,0,40.3399339,-3.6733878585167616,100000
34,1,0,45.0,2,1.0,1.0,1,0,0,0,0,1,0,40.3558406,-3.688398889638639,85000
35,0,0,74.0,3,1.0,1.0,1,0,0,1,0,0,0,40.3551089,-3.7001047141537535,139000
39,0,0,108.0,3,2.0,4.0,1,1,0,0,1,0,0,40.3551089,-3.7001047141537535,179000
40,0,0,62.0,2,1.0,0.0,1,1,0,0,0,0,0,40.3455389,-3.7109697,123000
77,0,0,125.0,3,2.0,1.0,1,1,1,1,0,0,0,40.3558406,-3.688398889638639,210000
81,0,0,54.0,2,1.0,2.0,1,0,0,0,0,1,0,40.3455389,-3.7109697,110000
82,0,0,52.0,2,1.0,1.0,1,0,0,0,0,0,0,40.3558406,-3.688398889638639,100000
83,0,0,108.0,3,1.0,2.0,1,0,0,0,1,0,0,40.3455389,-3.7109697,140000
88,0,0,80.0,3,2.0,4.0,1,1,1,0,0,0,1,40.3558406,-3.688398889638639,220000
91,0,0,70.0,2,2.0,4.0,1,1,1,1,0,0,1,40.3558406,-3.688398889638639,210000
99,0,1,103.0,3,2.0,1.0,1,1,1,1,0,0,1,40.3399339,-3.6733878585167616,245000
101,0,1,99.0,3,2.0,6.0,1,1,1,1,0,0,1,40.3399339,-3.6733878585167616,235000
102,0,1,100.0,3,2.0,3.0,1,1,1,1,0,0,1,40.3399339,-3.6733878585167616,235000
