,is_renewal_needed,is_new_development,m2,n_rooms,n_bathrooms,floor,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,latitude,longitude,buy_price
15,1,0,75.0,3,1.0,3.0,1,1,0,0,1,0,0,40.3455389,-3.7109697,129900
19,1,0,76.0,3,1.0,2.0,1,0,0,0,1,0,0,40.3455389,-3.7109697,110000
20,0,0,75.0,3,1.0,3.0,1,0,1,0,1,0,0,40.3455389,-3.7109697,138000
22,1,0,65.0,3,1.0,1.0,1,1,0,0,0,0,1,40.3558406,-3.688398889638639,150000
25,0,0,72.0,2,1.0,3.0,1,0,1,0,0,1,0,40.3455389,-3.7109697,138000
26,0,0,61.0,3,1.0,5.0,1,0,0,0,0,1,0,40.3399339,-3.6733878585167616,100000
34,1,0,45.0,2,1.0,1.0,1,0,0,0,0,1,0,40.3558406,-3.688398889638639,85000
35,0,0,74.0,3,1.0,1.0,1,0,0,1,0,0,0,40.3551089,-3.7001047141537535,139000
40,0,0,62.0,2,1.0,0.0,1,1,0,0,0,0,0,40.3455389,-3.7109697,123000
77,0,0,125.0,3,2.0,1.0,1,1,1,1,0,0,0,40.3558406,-3.688398889638639,210000
81,0,0,54.0,2,1.0,2.0,1,0,0,0,0,1,0,40.3455389,-3.7109697,110000
82,0,0,52.0,2,1.0,1.0,1,0,0,0,0,0,0,40.3558406,-3.688398889638639,100000
88,0,0,80.0,3,2.0,4.0,1,1,1,0,0,0,1,40.3558406,-3.688398889638639,220000
91,0,0,70.0,2,2.0,4.0,1,1,1,1,0,0,1,40.3558406,-3.688398889638639,210000
99,0,1,103.0,3,2.0,1.0,1,1,1,1,0,0,1,40.3399339,-3.6733878585167616,245000
111,0,0,90.0,3,2.0,2.0,1,1,0,1,1,0,0,40.3551089,-3.7001047141537535,195000
113,0,0,80.0,3,1.0,0.0,1,0,0,0,1,0,0,40.3455389,-3.7109697,145000
122,0,0,90.0,3,2.0,2.0,1,1,1,1,0,0,1,40.3399339,-3.6733878585167616,225000
157,1,0,72.0,3,1.0,3.0,1,1,0,0,1,0,0,40.3455389,-3.7109697,119900
167,0,0,58.0,3,1.0,3.0,1,0,0,0,0,1,0,40.3399339,-3.6733878585167616,105000
168,0,0,82.0,3,1.0,4.0,1,0,0,0,0,1,0,40.3455389,-3.7109697,120000
179,0,0,81.0,3,2.0,3.0,1,1,1,1,0,0,0,40.3455389,-3.7109697,155000
182,0,0,80.0,3,1.0,0.0,1,0,0,0,1,0,0,40.3455389,-3.7109697,140000
183,0,0,80.0,3,1.0,3.0,1,1,0,0,1,0,0,40.3551089,-3.7001047141537535,165000
188,0,0,71.0,2,2.0,2.0,1,1,0,1,0,0,1,40.3558406,-3.688398889638639,198000
190,0,0,65.0,2,1.0,2.0,1,0,0,0,0,0,0,40.34326305,-3.688352297394898,110000
198,0,0,90.0,3,2.0,3.0,1,1,1,1,1,0,0,40.3455389,-3.7109697,155000
210,0,0,103.0,3,2.0,4.0,1,1,1,1,0,0,1,40.3558406,-3.688398889638639,250000
212,0,0,70.0,3,1.0,3.0,1,1,0,0,0,0,0,40.34326305,-3.688352297394898,99000
215,1,0,70.0,3,1.0,2.0,1,0,0,0,0,0,0,40.3558406,-3.688398889638639,120000
216,0,0,71.0,3,1.0,1.0,1,1,0,0,0,0,0,40.3558406,-3.688398889638639,149000
217,1,0,70.0,3,1.0,3.0,1,1,0,0,0,0,0,40.3558406,-3.688398889638639,135000
232,0,0,65.0,2,1.0,0.0,1,0,0,0,0,0,0,40.3455389,-3.7109697,99000
234,0,0,75.0,3,1.0,5.0,0,0,0,0,0,0,0,40.3551089,-3.7001047141537535,110000
244,0,0,95.0,3,1.0,0.0,1,0,1,1,0,0,1,40.3455389,-3.7109697,199000
246,0,0,69.0,2,1.0,1.0,1,1,0,0,0,0,1,40.3455389,-3.7109697,240000
252,0,0,55.0,2,1.0,2.0,1,0,0,0,0,0,0,40.3455389,-3.7109697,110000
263,0,0,125.0,3,2.0,1.0,1,1,1,1,0,0,0,40.3558406,-3.688398889638639,210000
265,0,0,61.0,3,1.0,4.0,1,0,0,0,0,0,0,40.3399339,-3.6733878585167616,100000
267,0,0,80.0,2,1.0,3.0,1,1,0,1,1,0,0,40.3551089,-3.7001047141537535,115000
269,0,0,60.0,2,1.0,3.0,1,0,0,0,0,0,0,40.34326305,-3.688352297394898,95000
275,0,0,58.0,2,1.0,1.0,1,0,0,0,0,0,0,40.3558406,-3.688398889638639,118000
277,0,0,50.0,2,1.0,3.0,1,0,0,0,0,0,0,40.3558406,-3.688398889638639,105000
279,0,0,90.0,3,2.0,1.0,1,1,1,1,0,0,1,40.3399339,-3.6733878585167616,290000
282,0,0,60.0,2,1.0,2.0,1,0,0,0,0,1,0,40.3455389,-3.7109697,125000
288,0,0,70.0,3,1.0,3.0,1,0,0,0,1,0,0,40.3455389,-3.7109697,135000
289,0,0,75.0,2,2.0,0.0,1,0,0,0,0,0,0,40.3558406,-3.688398889638639,195000
291,0,0,91.0,2,2.0,1.0,1,1,1,1,0,0,1,40.3455389,-3.7109697,215000
293,0,0,61.0,3,1.0,1.0,1,0,0,0,0,0,0,40.3551089,-3.7001047141537535,125000
294,0,0,73.0,2,1.0,1.0,1,0,0,0,1,0,0,40.3558406,-3.688398889638639,120000
296,0,0,68.0,2,1.0,4.0,1,0,0,0,1,0,0,40.3551089,-3.7001047141537535,125000
298,0,0,56.0,3,1.0,1.0,1,1,0,0,1,0,0,40.3558406,-3.688398889638639,105000
305,0,0,75.0,3,1.0,3.0,1,0,0,0,1,0,0,40.3455389,-3.7109697,120000
310,0,0,56.0,2,1.0,4.0,1,0,0,0,0,0,0,40.3551089,-3.7001047141537535,109000
312,0,0,71.0,2,1.0,1.0,1,0,0,0,1,0,0,40.3558406,-3.688398889638639,120000
313,0,0,76.0,3,1.0,2.0,1,1,0,0,1,0,0,40.34326305,-3.688352297394898,110000
315,0,0,90.0,3,2.0,3.0,1,1,1,0,0,1,0,40.3455389,-3.7109697,180000
319,0,0,50.0,1,1.0,2.0,1,1,0,0,0,0,0,40.3399339,-3.6733878585167616,125000
322,0,0,60.0,3,1.0,0.5,1,1,0,0,0,0,0,40.34326305,-3.688352297394898,120000
324,0,0,60.0,3,1.0,4.0,1,0,0,0,0,0,0,40.34326305,-3.688352297394898,140000
328,0,0,60.0,3,1.0,4.0,1,0,0,0,0,0,0,40.34326305,-3.688352297394898,145000
330,0,0,81.0,3,1.0,3.0,1,1,0,0,1,0,0,40.3551089,-3.7001047141537535,160000
331,0,0,75.0,3,1.0,3.0,1,0,1,1,1,0,0,40.3558406,-3.688398889638639,180000
332,0,0,72.0,3,1.0,2.0,1,1,0,0,1,0,0,40.3455389,-3.7109697,130000
333,0,0,95.0,2,2.0,3.0,1,1,1,0,0,0,1,40.3399339,-3.6733878585167616,250000
334,0,0,49.0,1,1.0,2.0,1,1,1,1,0,0,1,40.3455389,-3.7109697,190000
343,0,0,75.0,3,1.0,4.0,1,1,0,0,0,0,0,40.34326305,-3.688352297394898,155000
345,0,0,48.0,2,1.0,4.0,1,1,0,1,0,0,0,40.3399339,-3.6733878585167616,120000
346,1,0,80.0,3,1.0,0.0,1,0,0,0,1,0,0,40.3558406,-3.688398889638639,125000
352,0,0,50.0,2,1.0,2.0,1,0,0,0,0,0,0,40.3455389,-3.7109697,140000
354,0,0,80.0,3,1.0,1.0,1,0,0,0,1,0,0,40.3551089,-3.7001047141537535,150000
355,0,0,65.0,2,1.0,0.0,1,0,0,0,0,0,0,40.3558406,-3.688398889638639,110000
360,0,0,72.0,3,1.0,2.0,1,0,0,0,1,0,0,40.3455389,-3.7109697,140000
