,neighborhood_id,house_type_id,is_renewal_needed,is_new_development,sq_mt_built,n_rooms,n_bathrooms,floor,is_exterior,has_lift,has_parking,has_storage_room,has_terrace,has_balcony,has_pool,buy_price,buy_price_by_area,latitude,longitude
0,"San Cristóbal, Villaverde(Madrid)",HouseType 1: Pisos,False,False,64.0,2,1.0,3,True,False,False,False,False,False,False,85000,1328,40.343263050000004,-3.688352297394898
1,"Los Ángeles, Villaverde(Madrid)",HouseType 1: Pisos,True,False,70.0,3,1.0,4,True,True,False,False,True,False,False,129900,1856,40.3551089,-3.7001047141537544
2,"San Andrés, Villaverde(Madrid)",HouseType 1: Pisos,False,False,94.0,2,2.0,1,True,True,False,True,False,False,False,144247,1535,40.3455389,-3.7109697
3,"San Andrés, Villaverde(Madrid)",HouseType 1: Pisos,False,False,64.0,2,1.0,Bajo,True,True,False,True,False,False,False,109900,1717,40.3455389,-3.7109697
4,"Los Rosales, Villaverde(Madrid)",HouseType 1: Pisos,False,False,108.0,2,2.0,4,True,True,True,True,False,False,True,260000,2407,40.3558406,-3.688398889638639
5,"San Andrés, Villaverde(Madrid)",HouseType 1: Pisos,False,False,126.0,4,2.0,3,True,False,True,False,True,True,False,195000,1548,40.3455389,-3.7109697
6,"San Andrés, Villaverde(Madrid)",HouseType 1: Pisos,False,False,120.0,5,2.0,1,True,False,True,True,True,True,True,190000,1583,40.3455389,-3.7109697
7,"San Andrés, Villaverde(Madrid)",HouseType 1: Pisos,False,False,125.0,3,2.0,2,True,False,False,False,True,False,False,198500,1588,40.3455389,-3.7109697
8,"Los Rosales, Villaverde(Madrid)",HouseType 1: Pisos,True,False,85.0,2,1.0,7,True,False,False,False,True,False,False,131400,1546,40.3558406,-3.688398889638639
9,"San Andrés, Villaverde(Madrid)",HouseType 1: Pisos,True,False,69.0,2,2.0,2,True,False,False,False,True,False,False,118000,1710,40.3455389,-3.7109697
10,"Los Rosales, Villaverde(Madrid)",HouseType 1: Pisos,False,False,123.0,3,2.0,4,True,True,False,False,False,False,False,195000,1585,40.3558406,-3.688398889638639
11,"Los Ángeles, Villaverde(Madrid)",HouseType 1: Pisos,False,False,109.0,3,2.0,3,True,True,False,True,True,False,False,205000,1881,40.3551089,-3.7001047141537544
12,"San Cristóbal, Villaverde(Madrid)",HouseType 1: Pisos,False,False,64.0,3,1.0,3,True,False,False,False,True,False,False,72000,1125,40.343263050000004,-3.688352297394898
13,"Los Rosales, Villaverde(Madrid)",HouseType 1: Pisos,False,False,115.0,3,1.0,1,True,False,False,False,True,False,False,184900,1608,40.3558406,-3.688398889638639
